web-scraper-order,web-scraper-start-url,link,link-href,snopes title,datte,subject,title,type,text
1628111245-1154,https://www.snopes.com/page/4/?s=Hurricane+harvey,Did Trump Personally Donate $1M to Bahamas Relief Fund?,https://www.snopes.com/fact-check/trump-give-1-million-bahamas/,Did Trump Personally Donate $1M to Bahamas Relief Fund?,9-Sep-19,"Home					
				
												
					
						Fact Checks					
				
												
					
						Politics					
				
												
					
						Did Trump Personally Donate $1M to Bahamas Relief Fund?",U.S. President Donald Trump personally donated $1 million to the relief fund for the Bahamas after Hurricane Dorian.,"False
					
						
							About this rating","In September 2019, shortly after Hurricane Dorian devastated the Bahamas, a rumor started to circulate on Facebook claiming that U.S. President Donald Trump had personally donated $1 million to the relief fund for the Caribbean country:
<img loading=""lazy"" class=""aligncenter size-full wp-image-213534"" src=""https://www.snopes.com/tachyon/2019/09/69603164_2362909323777569_967276959191007232_n.jpg"" alt="""" width=""540"" height=""960"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2019/09/69603164_2362909323777569_967276959191007232_n.jpg?resize=540%2C960&amp;zoom=1 540w, https://www.snopes.com/tachyon/2019/09/69603164_2362909323777569_967276959191007232_n.jpg?resize=540%2C960&amp;zoom=0.5 270w, https://www.snopes.com/tachyon/2019/09/69603164_2362909323777569_967276959191007232_n.jpg?resize=540%2C960&amp;zoom=0.25 135w"" sizes=""(max-width: 540px) 100vw, 540px"" />This rumor is unfounded. 
Although verbatim copies of this message — “President Trump donated $1 million dollars to the relief fund for The Bahamas. No politicians have donated ANYTHING. ZERO” — were shared by a number of Facebook users (as well as a few variants), we’ve yet to come across any posting that linked the claim to a credible news report.
Furthermore, neither Trump nor the White House has announced any personal donations from the president to the Bahamas. We reached out to White House Press Secretary Stephanie Grisham for comment but did not hear back by press time.
While this rumor is based on a series of unsourced social media posts, it isn’t far-fetched. Trump truly donated $1 million to the recovery effort in Texas and Louisiana in the wake of Hurricane Harvey in 2017:
President Donald Trump and the first lady, Melania, personally donated $1 million to Hurricane Harvey relief efforts, the White House said Wednesday in announcing which charities had been selected.
The donation was divided among 12 charities, including the Red Cross, Salvation Army, Reach Out America and the ASPCA. The White House previously requested recommendations of where Trump should send his money and “several of the following organizations were recommended … by members of the White House Press Corps.”
	
		
			
				
			
			
		
	
		
		
Perhaps some social media users came across one of the 2017 reports about Trump’s donation to a hurricane-relief effort and mistook them for recent news. As of this writing, however, no such donation has been announced for the Bahamas in 2019. 
When Trump took office in January 2017, he pledged to donate the entirety of his presidential salary (approximately $400,000 annually) to various causes. Trump has kept this promise. As of this writing, Trump’s most recent donation ($100,000) went to the Department of Health and Human Services:
President Donald Trump wrote a check to donate his second quarter 2019 salary to the office of the Surgeon General to fund an upcoming public health advisory, the White House told USA TODAY.
It’s his third salary donation to the Department of Health and Human Services.
“The President recognizes the important mission of the Surgeon General to protect and improve the health of all Americans, including helping to tackle the opioid epidemic and raise awareness of the dangers of e-cigarette usage among teenagers and children,” the White House said in a statement.
While the White House has publicized these donations, they have made no announcements regarding a $1 million personal donation from the president to the relief effort in the Bahamas. The U.S. government, on the other hand, started to provide aid to the Caribbean country almost immediately. 
A spokesperson for the State Department told us that the United States Agency for International Development (USAID) is working to “provide humanitarian assistance, search and rescue, and other disaster response measures” to the Bahamian government. USAID will also be providing nearly $3 million in additional humanitarian assistance to help the recovery effort:
At the request of Prime Minister Minnis of the Bahamas, the United States is providing assistance to the people of the Bahamas in the wake of Hurricane Dorian. Hurricane Dorian began to make landfall in the Bahamas on September 1, 2019, and is the strongest storm to ever hit The Bahamas, the second strongest Atlantic storm measured by wind speed on record. The U.S. Embassy to The Bahamas and United States Agency for International Development (USAID), are a part of the whole-of-Federal Government effort to provide humanitarian assistance, search and rescue, and other disaster response measures at the request of the Bahamian government, as well as assisting U.S. citizens in the affected areas. We appreciate Prime Minister Minnis’ leadership through this difficult time and remain in close contact with all levels of the Bahamian Government as we work together to respond to this disaster.
On September 7, USAID Administrator Mark Green announced $1 million in additional humanitarian assistance to help people in The Bahamas affected by Hurricane Dorian, bringing USAID’s total funding for this response to $2.8 million to date. This new funding will provide emergency food assistance to people in areas worst affected by the hurricane. USAID’s funding is also providing urgently needed shelter, water containers, and hygiene kits to people in need, as well as providing critically needed logistics support to help move commodities to The Bahamas.
We refer you to the White House for information about any personal action taken by the president."
1628111555-1188,https://www.snopes.com/page/1/?s=Hurricane+harvey,Navy Destroyer Collides with Building in Downtown Houston?,https://www.snopes.com/fact-check/navy-destroyer-collides-building-downtown-houston/,Navy Destroyer Collides with Building in Downtown Houston?,30-Aug-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Fauxtography					
				
												
					
						Navy Destroyer Collides with Building in Downtown Houston?",A Navy Destroyer crashed into a building in downtown Houston after Hurricane Harvey flooded the city in August 2017.,"False
					
						
							About this rating","The military satire web site The Duffel Blog published an article on 29 August 2017 which claimed that a Navy Destroyer had crashed into a building in downtown Houston after the city was flooded during Hurricane Harvey:
<img loading=""lazy"" class=""aligncenter wp-image-102259"" style=""border: 1px solid black;"" src=""https://www.snopes.com/tachyon/2017/08/navy-destroyer-houston.jpg"" alt="""" width=""600"" height=""257"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2017/08/navy-destroyer-houston.jpg?resize=1140%2C488&amp;zoom=1 1140w, https://www.snopes.com/tachyon/2017/08/navy-destroyer-houston.jpg?resize=1140%2C488&amp;zoom=0.5 570w, https://www.snopes.com/tachyon/2017/08/navy-destroyer-houston.jpg?resize=1140%2C488&amp;zoom=0.25 285w"" sizes=""(max-width: 1140px) 100vw, 1140px"" />
As if the city of Houston hasn’t seen enough tragedy due to catastrophic flooding from Hurricane Harvey, things took a turn for the worse today after a U.S. Navy ship collided with a building in the downtown area.
The ship was identified as an Arleigh Burke-class destroyer belonging to the Navy’s 7th Fleet.
It was unclear why the destroyer was not able to see the building and take evasive action, or why it was over 20 miles inland and trying to navigate through a major metropolitan area.
The story isn’t real. The Duffel Blog carries a readily available disclaimer: 
We are in no way, shape, or form, a real news outlet. Everything on this website is satirical and the content of this site is a parody of a news organization. No composition should be regarded as truthful, and no reference of an individual, company, or military unit seeks to inflict malice or emotional harm.
All characters, groups, and military units appearing in these works are fictitious. Any resemblance to real persons, living or dead, or actual military units and companies is purely coincidental.
The featured photograph that accompanied the story is, unsurprisingly, fake. The real image was published in 2015 and showed flood waters (sans Navy ship) approaching downtown Houston. Here is the real image and the doctored one that Duffel Blog used side by side: 
<img loading=""lazy"" class=""aligncenter wp-image-102262"" style=""border: 1px solid black;"" src=""https://www.snopes.com/tachyon/2017/08/navy-ship.jpg"" alt="""" width=""600"" height=""131"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2017/08/navy-ship.jpg?resize=1000%2C218&amp;zoom=1 1000w, https://www.snopes.com/tachyon/2017/08/navy-ship.jpg?resize=1000%2C218&amp;zoom=0.5 500w, https://www.snopes.com/tachyon/2017/08/navy-ship.jpg?resize=1000%2C218&amp;zoom=0.25 250w"" sizes=""(max-width: 1000px) 100vw, 1000px"" />
The ship featured in the doctored image, the USS Mustin was not deployed in the Gulf of Mexico during Hurricane Harvey. The ship was stationed more than 6,000 miles away off the coast of Yokosuka, Japan in August 2017."
1628110909-1117,https://www.snopes.com/page/7/?s=Hurricane+harvey,Can Animal Rescuers Be Prosecuted for Theft for Saving Animals from Harvey?,https://www.snopes.com/fact-check/animal-rescue-theft-harvey/,Can Animal Rescuers Be Prosecuted for Theft for Saving Animals from Harvey?,30-Aug-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Crime					
				
												
					
						Can Animal Rescuers Be Prosecuted for Theft for Saving Animals from Harvey?",Anyone who rescues an animal from dangers caused by Tropical Storm Harvey can be prosecuted for theft of an animal in Texas.,"False
					
						
							About this rating","With humanitarian and rescue operations underway in response to Tropical Storm Harvey in Texas, rumors are cropping up that could discourage the rescue of animals in danger. 
Snopes readers wrote in to ask about the following warning: 
State law says until [animals are] chest deep [in water or mud], they can’t be touched by anyone other than the owner, otherwise it’s horse theft. Even law enforcement officers can’t pull them until that point.
What the law says
There is no law in Texas that specifically states when an animal rescue is or is not a theft — either because of water and mud levels or any other circumstance. 
	
		
			
				
			
			
		
	
		
		
Stealing horses, cattle, “exotic livestock”, or ten or more sheep, goats or pigs is a third-degree felony in Texas if the total value of the animals is up to $150,000. (Sec 31.03 e 5).
While there is no provision in Texas law which allows an exception specifically for rescuing an animal from a flood, it is extremely unlikely — almost unimaginable — that someone who rescued an animal from death or injury would be prosecuted for theft (unless, of course, they later refused to return the animal to its owner). 
For one thing, prosecutors (usually district attorneys) have limited resources and have to prioritize only the most urgent and egregious crimes. A herd of cattle or a dozen horses being removed from their owner’s possession during a devastating natural disaster of historic proportions would not fall into this category.
Secondly, prosecutors generally avoid pursuing cases they are not likely to win — and they are not likely to convince a jury to convict of theft a person who acted to save an animal’s life. Moreover, such a case would probably bring the prosecutor, who is usually an elected official, negative attention. 
Jeremy Rosenthal, a Texas-based criminal defense attorney and former prosecutor at the Collin County District Attorney’s office, told us that, according to Texas law, prosecutors can and should refuse to prosecute cases that do not advance the cause of justice. Article 2.01 of the Texas Code of Criminal Procedure says that the “primary duty” of prosecutors is “not to convict, but o see that justice is done.” 
Rosenthal calls this “the common sense factor.”
A prosecutor’s job isn’t to hit somebody with the maximum that they can hit them with, it’s to see that justice is done.
However, even if a prosecutor – for whatever reason – decided to pursue an individual who had taken an animal from its owner in order to save its life, that individual would have several legal defenses available to them which would make conviction extremely unlikely.  		
			
				
			
			
		
	
		
		
Both Rosenthal and Marcia Kramer, a lawyer and Director of Legal and Legislative Programs for the Animal Law Resource Center at the National Anti-Vivisection Society, both told us that the first line of defense in a case like this would likely be the defense of “necessity.”  
The Necessity Defense
Texas Penal Code Section 9.22 offers a kind of blanket defense against criminal prosecution of many kinds, which would include theft:

Conduct is justified if:
(1) the actor reasonably believes the conduct is immediately necessary to avoid imminent harm;

(2) the desirability and urgency of avoiding the harm clearly outweigh, according to ordinary standards of reasonableness, the harm sought to be prevented by the law proscribing the conduct; and

(3) a legislative purpose to exclude the justification claimed for the conduct does not otherwise plainly appear.

“Necessity,” Rosenthal says, “is basically where there is greater harm that results from not taking the action.”
You could make the case – very clearly – that this horse, these cattle were going to die unless I acted.
The ‘Deprivation Defense’
Both Kramer and Rosenthal also pointed out that the very definition of theft in Texas seems to exclude a good faith animal rescue. 		
			
				
			
			
		
	
		
		
The Texas Penal Code (Sec. 31.03 a) states that “A person commits an offense if he unlawfully appropriates property with intent to deprive the owner of property.”
However, “deprive” is defined as follows (Sec. 31.01 2):

(A) to withhold property from the owner permanently or for so extended a period of time that a major portion of the value or enjoyment of the property is lost to the owner;

(B) to restore property only upon payment of reward or other compensation; or

(C) to dispose of property in a manner that makes recovery of the property by the owner unlikely.

Kramer says:
Since the rescue is not meant to deprive the owner of the enjoyment of the value of their property (animal), but rather to preserve the value (the life) of the animal, a rescue does not qualify as a theft under Texas law. The element of “intent” is absent from animal rescue.
Rosenthal pointed out that if someone who rescued an animal later refused to return it to its owner, that could, of course, be treated as theft."
1628110926-1120,https://www.snopes.com/page/7/?s=Hurricane+harvey,Irma Strengthens to a Cat 5 Storm as it Nears Caribbean,https://www.snopes.com/ap/2017/09/05/irma-cat-5-storm-nears-caribbean/,Irma Strengthens to a Cat 5 Storm as it Nears Caribbean,null,"Home					
				
												
					
						AP News					
				
												
					
						World News					
				
												
					
						Irma Strengthens to a Cat 5 Storm as it Nears Caribbean",null,"This article was republished here with permission from The Associated Press, however it is no longer available to read on Snopes.com.",null
1628111382-1168,https://www.snopes.com/page/3/?s=Hurricane+harvey,Does This Social Media Narrative Describe Volunteers Helping with Hurricane Dorian?,https://www.snopes.com/fact-check/social-volunteers-hurricane-dorian/,Does This Social Media Narrative Describe Volunteers Helping with Hurricane Dorian?,4-Sep-19,"Home					
				
												
					
						Fact Checks					
				
												
					
						Viral Phenomena					
				
												
					
						Does This Social Media Narrative Describe Volunteers Helping with Hurricane Dorian?",A social media post describes volunteers headed to Florida to help with Hurricane Dorian relief in September 2019.,"Mixture
					
						
							About this rating","In September 2019, as Americans were tracking the unpredictable path of Hurricane Dorian and fearing it might make landfall in Florida, many social media users, including conservative columnist Todd Starnes, shared a post with a picture showing a procession of vehicles towing small boats. The accompanying text identified the drivers as volunteers headed out to help potential storm victims in Florida and the Carolinas:
Several of our readers sent me a link to this incredible Facebook post written by a gentleman named Floyd Richard Burdett. It’s word a read, folks. Full disclosure – I cannot independently verify where the photograph was taken.
There are still plenty of red-blooded American men who are willing to head towards the danger zone – girded by Almighty God and toxic masculinity. We got word that the Cajun Navy is already on the ground in Florida.
One of those guys is my cousin, who is part of a swift water rescue team from Memphis. They are headed to Jacksonville, Florida.
Y’all say a prayer for these brave men and the good people of Florida and the Carolinas.

Let this sink in for a minute…..Hundreds and hundreds of small boats pulled by countless pickups and SUVs from across the South are headed for Florida.
Almost all of them driven by men. They’re using their own property, sacrificing their own time, spending their own money, and risking their own lives for one reason: to help total strangers in desperate need …

Although volunteers may indeed have begun heading to Florida and/or the Carolinas to offer assistance during Hurricane Dorian in early September 2019, this particular photograph and text is dated from two years earlier and pictured members of Lousiana’s “Cajun Navy” headed to Texas (not Florida) to help rescue victims of Hurricane Harvey (not Hurricane Dorian) in August 2017 (not 2019):
The Houston Chronicle described the Cajun Navy’s efforts in Texas at the time as follows:
Texans are getting help from their neighbors who know too well the dangers hurricanes can bring.
The Cajun Navy, a band of Louisiana residents who used their boats and resources to rescue people during Hurricane Katrina, have been authorized to come to Texas and help rescue Hurricane Harvey victims.
At the beginning of September 2019, a representative of the Cajun Navy 2016 group said they were prepared to help with Hurricane Dorian but at the moment were unsure where to head due to the uncertain path of the storm:
<img loading=""lazy"" class=""aligncenter size-full wp-image-212910"" src=""https://www.snopes.com/tachyon/2019/09/cajunnavy.jpg"" alt="""" width=""1189"" height=""678"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2019/09/cajunnavy.jpg?resize=1189%2C678&amp;zoom=1 1189w, https://www.snopes.com/tachyon/2019/09/cajunnavy.jpg?resize=1189%2C678&amp;zoom=0.5 595w, https://www.snopes.com/tachyon/2019/09/cajunnavy.jpg?resize=1189%2C678&amp;zoom=0.25 297w"" sizes=""(max-width: 1189px) 100vw, 1189px"" />
Like many of us, Ben Husser has been getting updates on Hurricane Dorian from the news. But unlike the rest of us, he and the search and rescue crew from Cajun Navy 2016 are headed to the action.
“Our first group is probably going to leave Monday or Monday night [September 2],” said Husser.
Husser is a volunteer for the Cajun Navy 2016. He and his team do strictly search and rescue missions, but at this point, they don’t know where they are headed. This makes planning to help those in need, even more difficult, Husser say.
“As of right now we’re looking at 3 or 4 different locations,” said Husser …
Husser says the Cajun Navy 2016 are second responders and will only take their boats to places where they have permission. But for now, they are waiting and watching the storm closely to follow its path.
In short, the gist of this social media post circulated in 2019 and describing the helpful efforts of some volunteers during hurricanes is true, but it was written about events that took place two years earlier, during a different storm in a different location."
1628110815-1105,https://www.snopes.com/page/8/?s=Hurricane+harvey,NASA Warns ‘Planet X’ Is Headed Straight for Earth?,https://www.snopes.com/fact-check/nasa-warns-nibiru-is-headed-straight-for-earth/,NASA Warns ‘Planet X’ Is Headed Straight for Earth?,5-Jul-16,"Home					
				
												
					
						Fact Checks					
				
												
					
						Junk News					
				
												
					
						NASA Warns ‘Planet X’ Is Headed Straight for Earth?",NASA has warned of imminent disaster due to the trajectory of another planet that will  intersect Earth's orbit.,"False
					
						
							About this rating","On 10 March 2016, the web site News4KTLA published an article  reporting that NASA had issued a frightening advisory concerning the possibility that the trajectory a “rogue planet” known as “Nibiru” or “Planet X” would intersect Earth’s orbit, with potentially disastrous consequences:
Is this the end of the world as we know it? Doomsayers have prophesied for decades about a giant, rogue planet in our solar system — dubbed Planet X or Nibiru — that has the capacity of colliding or passing near Earth, with catastrophic consequences. And of course, NASA has known about the mystery planet for years, but declined to warn us … until now. Finally, after the announcement of “Planet Nine” in January, conspiracy theorists have proved to the skeptics that they have been right this entire time, and NASA finally has to admit its wrongs. The planet, according to Caltech researchers, has a mass about 10 times that of Earth and takes about 15,000 years to make a full orbit around the sun – And it’s heading towards Earth, with a collision date of August 21, 2016. Although Caltech researchers have admitted that we are headed for doomsday. NASA continues to tiptoe around the subject.
“Although our scientists at NASA have emphasized for years that Nibiru doesn’t exist, we are ready to reveal the fact that it does exist,” said NASA spokesperson Heather Cartwright. “The truth is we have been tracking the object for at least a decade and it is definitely headed towards planet Earth. However, we are expecting a close flyby – not the doomsday collision that Caltech researchers are predicting. There is no need to cause mass panic.” In a response to NASA’s statement, Caltech researcher Randall Smith had this to say: “For NASA to minimize the threat to our earth by calling it a ‘close flyby’ is insulting to our research. We have concrete evidence that proves Nibiru is headed straight for earth with a collision that will destroy life as we know it. NASA is just trying to avoid mass panic and chaos within our world. But we all deserve to know that our days are numbered.”
This report was untrue, just another clickbait fabrication originating with News4KTLA, a fake news site that has appropriated the call letters of a legitimate Los Angeles television station and news outlet (KTLA).
NASA has never issued any such warning, nor reported the existence of any “rogue planet.”  In fact, NASA has stated just the opposite, that no planet such as “Niburu” is known to exist:

	
		
			
				
			
			
		
	
		
		
Nonetheless, fringe religious elements periodically invoke doomsday scenarios that posit an apocalypse brought about by another planet’s passing in close proximity to Earth, with one such instance supposedly set to occur on 23 September 2017, as reported by Fox News:

Christian numerologists claim that the world will end on Sept. 23, 2017 as they believe a planet will collide with Earth.
According to Christian numerologist David Meade, verses in Luke 21: 25 to 26 is the sign that recent events, such as the recent solar eclipse and Hurricane Harvey, are signs of the apocalypse.
The verses read:
“25: There will be signs in the sun, moon and stars. On the earth, nations will be in anguish and perplexity at the roaring and tossing of the sea. People will faint from terror, apprehensive of what is coming on the world, for the heavenly bodies will be shaken.’
“’26: Men’s hearts failing them for fear, and for looking after those things which are coming on the earth: for the powers of heaven shall be shaken.’
Sept. 23 is a date that was pinpointed using codes from the Bible, as well as a “date marker” in the pyramids of Giza in Egypt.
Meade has built his theory, which is viewed with a widely skeptical lens, on the so-called Planet X, which is also known as Nibiru, which he believes will pass Earth on Sept. 23, causing volcanic eruptions, tsunamis and earthquakes.

Ed Stetzer, a pastor and executive director of Wheaton College’s Billy Graham Center, took exception to such reporting in a piece published on the web site of Christianity Today:

First, there is no such thing as a legitimate ‘Christian numerologist.’
Sure, the writers of Scripture do, indeed, use numbers to point to a few things—that’s first-year seminary. But, it stops at first-year seminary because there are not secret numerical codes that require a profession called “Christian numerology.”
Seminaries don’t offer this as a formal degree nor do any professional, accredited institutions. David Meade, the man the Fox News article cites as their source for these claims, doesn’t have any formal, academic training in numerology.
That’s right, multiple news outlets are referencing the findings of a man with, according to his website, nothing more than a bachelor’s degree in Economics and Astrology from an unnamed institution.
Furthermore, Meade doesn’t provide us with evidence of any biblical training he has received in order to speak authoritatively about the end times. He is discussing biblical matters of profound significance and making predictions about events of global importance without any real authority on these topics.
To make matters worse, the planetary alignments that Meade is using to support his claims about the end of the world have, according to an Express article, already happened four times in the past 1000 years.
Meade is a made-up leader in a made-up field, and should not be on the front page of anything, let alone Fox News.
And, when we remind people of this, maybe they will be less likely to report on it next time."
1628110962-1125,https://www.snopes.com/page/6/?s=Hurricane+harvey,Are There Floating Islands of Fire Ants in Hurricane-Flooded Areas of Texas?,https://www.snopes.com/fact-check/floating-islands-of-fire-ants/,Are There Floating Islands of Fire Ants in Hurricane-Flooded Areas of Texas?,30-Aug-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Uncategorized					
				
												
					
						Are There Floating Islands of Fire Ants in Hurricane-Flooded Areas of Texas?",There are small islands of fire ants floating in the floodwaters from Tropical Storm Harvey.,"True
					
						
							About this rating","It may sound like a horrific scene from an “Indiana Jones” movie, but clusters of fire ants are floating through catastrophic floodwaters caused by Tropical Storm Harvey, which made landfall in southeast Texas in late August 2017.
As waters rose throughout the Houston area causing widespread destruction and displacement, people began posting another unpleasant effect of the storm — surreal pictures of the rust-colored insects drifting along, tightly clinging together to form what look like rafts on the surface of flooding rain water — prompting some to ask if the images were real. They are, in fact, real.
Houston Chronicle medical reporter Mike Hixenbaugh posted a video of one such colony, urging residents to keep their distance:

Pro tip: Don’t touch the floating fire ant colonies. They will ruin your day. #Harvey pic.twitter.com/uwJd0rA7qB
— Mike Hixenbaugh (@Mike_Hixenbaugh) August 27, 2017
The ant colonies have become large enough to prompt alarm from an entomologist from the University of Texas, Austin:

Holy crap. I have never, in my entire career as an ant researcher, seen *anything* like this. https://t.co/jIjTOo3fZc
— Alex Wild (@Myrmecos) August 29, 2017
Hixenbaugh is right to urge caution. According to the Washington Post, fire ants are “aggressive, territorial and venomous. Among vulnerable individuals, their stings can be fatal”. According to Paul Nester, an extension program specialist in integrated pest management, the phenomenon of floating colonies of fire ants in a rain storm is not unprecedented:
Floodwaters will not drown fire ants. Instead, their colonies emerge from the soil, form a loose ball, float, and flow with the water until they reach a dry area or object they can crawl up on. Floating fire ant colonies can look like ribbons, streamers, mats, rafts, or an actual “ball” of ants floating on the water. These amoeba-like ant masses contain all of the colonies’ members: brood (eggs, larvae, pupae), queen ants, winged reproductive males and females, and worker ants.
As the flood waters recede, these floating fire ant colonies will get onto anything they come in contact with and are attracted to — anything that might give them shelter until a mound can be re-established in the soil. This means that debris piles left from the floodwaters or from flooded homes are extremely inviting to the fire ant. In times of flooding, a general, preventive treatment for controlling the fire ants is out of the question. Ants and ant colonies must be dealt with quickly.
Although it’s possible to sink the ants by spraying them with water and dish soap, which breaks them apart, experts from Texas A&M told science and technology site The Verge that spraying them would bring you too close, and the best course of action is to simply avoid them. If they’re floating in your direction, try to create waves that move them away. If one stings, it creates a chain reaction that induces the others to sting — so the best thing to do is brush them off as quickly as possible."
1628111297-1158,https://www.snopes.com/page/3/?s=Hurricane+harvey,"Did the Red Cross Steal Donations in Texas, Empowered by an Obama-Era Executive Order?",https://www.snopes.com/fact-check/red-cross-steals-texas/,"Did the Red Cross Steal Donations in Texas, Empowered by an Obama-Era Executive Order?",21-Sep-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Viral Phenomena					
				
												
					
						Did the Red Cross Steal Donations in Texas, Empowered by an Obama-Era Executive Order?","In September 2017, the Red Cross stole donated items from churches in Houston, Texas, and then sold some of the items and burned the others — all under the protection of a 2012 executive order.","Mostly False
					
						
							About this rating","On 7 September 2017, Facebook user Gina Nelms broadcast a live video in which she claimed that an Obama-era executive order allowed the Red Cross to steal donated items from churches in Houston, Texas in the aftermath of Hurricane Harvey: 
The Red Cross…threatened the pastors, threatened the priest, and threatened [others]. They began to steal – yes, I said it – the Red Cross was physically taking these donations from the doorsteps of these churches and putting them into their trucks. [The] Red Cross came to the church, with volunteers, and began to steal the donations…The Red Cross was stealing from people who literally had nothing…and they were protected by Order EO 13603. They were protected by Barack Obama, who signed this executive order.
Nelms earlier described that executive order in this way:
Obama claimed authority under the Defense Production Act of 1950, a Korean War-era statute…. It gives government power to marshal whatever resources they want. 
This description is similar to the language used in a 26 August 2015 article on the Natural News web site, which reported, falsely, that the executive order had had the effect of nationalizing the supply of food in the United States. (It also bears significant resemblance to the language often used by the sovereign citizen movement.)
	
		
			
				
			
			
		
	
		
		
In her Facebook video, Gina Nelms also claims that the Red Cross had taken the donated items it had purportedly stolen back to its “setup shelter” in Houston, before sorting through them for items it could sell for profit, and burning the remaining donations in dumpsters: 
Case after case after case of water, and they turned around and sold the water for $1.25 apiece…What they could make a profit off of, they kept. What they could not make a profit off of, they decided to put into these dumpsters, and they were burning your donations.
Nelms also encouraged viewers to “run the Red Cross out of Texas”.
Her central claim — that the Red Cross stole donations in Houston and sold some for profit, while burning others — is not supported by any evidence; the Red Cross unequivocally denies it. We could also find no evidence to support Gina Nelms’ claim that the Red Cross had “threatened” clergy members or anyone else during the alleged episode. The claim that the Red Cross was authorized to confiscate property by an Obama-era executive order, however, is entirely false. 
We sent Nelms a series of questions seeking to establish whether she had personally witnessed the events she described in her video, requesting any evidence that might support her claims, including the names of the churches involved, and asking her to connect us to any other person who might be able to provide such evidence. We did not receive a response. Nelms has also repeatedly stated in several Facebook videos that she has photographs and videos which would prove that her claims about the Red Cross are true, but has so far not provided these photographs and videos.
The Red Cross released a statement addressing the matter:
This is most definitely not an accurate claim — and we have asked Ms. Nelms to share any details, locations of these churches, or names of anyone involved in her assertion — and she has failed to do so.
[…]
As a humanitarian organization, we vehemently deny stealing anything to support our work. Very often, local churches and organizations collect donated items on behalf of our relief efforts – and then pass them on to the Red Cross. As an organizational policy, we do not sell or burn donated items. At times, donations are soiled or spoiled, in which case, they are discarded. We also do not accept donations of non-palletized (or non-bulk) food items, and in those cases, we partner with other local organizations to help us process and distribute those donations. Consequently, we find it highly objectionable that Ms. Nelms has made this claim.
A spokesperson also said the Red Cross has so far been “unable to validate” the claim that someone from the organization had “threatened” clergy members and others outside a church or churches in Houston: 
With nearly 200 shelters open at the height of this response, and without any confirmation or detail from Ms. Nelms, we have no idea who or what she is referring to. I can say that we have not and do not threaten people, whether pastors or residents of our shelters.
Executive order 13603 was signed by President Barack Obama on 16 March 2012, and it was an update to previous versions of a similar order signed by several presidents in earlier decades, most recently by Bill Clinton in 1994.
Contrary to Nelms’ claim, it does not empower the government to “marshall whatever resources they want.” The order essentially mandates that cabinet secretaries and federal agency heads should periodically assess the readiness of the United States’ industrial and technological capacity to respond effectively to threats to national security. (Its provisions can be read here.)
The order does not authorize the federal government to seize private property. Furthermore, the Red Cross is not part of the federal government anyway. It is a nonprofit humanitarian organization, not a federal agency. So even if EO 13603 did authorize the government to seize property, it would not authorize the Red Cross to seize property.
This component of Gina Nelms’ claim is therefore wildly false, and appears to be based on a fundamental misunderstanding of what the Red Cross is and how it operates."
1628111309-1159,https://www.snopes.com/page/3/?s=Hurricane+harvey,Are These Vegan Foods Left Unsold During the COVID-19 Pandemic?,https://www.snopes.com/fact-check/vegan-food-unsold/,Are These Vegan Foods Left Unsold During the COVID-19 Pandemic?,17-Mar-20,"Home					
				
												
					
						Fact Checks					
				
												
					
						Fauxtography					
				
												
					
						Are These Vegan Foods Left Unsold During the COVID-19 Pandemic?",A photograph shows store shelves stripped of all foodstuffs except for vegan products during the COVID-19 pandemic.,"Miscaptioned
					
						
							About this rating","The COVID-19 coronavirus disease pandemic that began spreading globally in the first part of 2020 prompted runs on grocery stores and other food outlets that left many store shelves stripped bare of consumables. As social media users began sharing photographs of barren shelves to document the extent of the situation, a few delighted in posting pictures that showed a few foodstuffs left behind in otherwise empty stores — with the implication that these comestibles were so awful tasting that people were unwilling to purchase them, even in a time of crisis.
One common subject of such photographs was food identified (correctly or otherwise) as being “vegan” (i.e., containing no animal products). One particular picture of that nature was shared by multiple Facebook and Twitter users:

Not even the threat of starvation from a panic buying food shortage can move vegan food off the shelves.. pic.twitter.com/LlJLqYlvXH
— Keira Savage (@KeiraSavage00) March 5, 2020





Although the photograph may be fairly representative of the general concept and does picture some vegan food products, it did not originate with the COVID-19 pandemic.
The earliest versions of this picture we were able to find online had been posted well over two years before the COVID-19 outbreak and dated from September 2017 — just after Hurricane Harvey made landfall in Texas and Louisiana in August 2017 and prompted a similar run on grocery stores by residents in the storm’s path:"
1628111443-1174,https://www.snopes.com/page/2/?s=Hurricane+harvey,The Latest: Bodies of 6 Family Members Recovered,https://www.snopes.com/ap/2017/08/30/bodies-6-family-recovered/,The Latest: Bodies of 6 Family Members Recovered,null,"Home					
				
												
					
						AP News					
				
												
					
						Tragedies					
				
												
					
						The Latest: Bodies of 6 Family Members Recovered",null,"This article was republished here with permission from The Associated Press, however it is no longer available to read on Snopes.com.",null
