Date,hour,Costumer outage,outage percentage
825,0,6216.216216,0.604161358
825,15,19189.18919,1.865019845
825,18,51081.08108,4.964630293
825,21,98108.10811,9.535242308
826,0,109459.4595,10.63849349
826,3,205135.1351,19.93732482
826,6,258108.1081,25.08583031
826,9,286216.2162,27.81769037
826,12,282972.973,27.50247575
826,15,266216.2162,25.87386687
826,18,253243.2432,24.61300838
826,21,247297.2973,24.03511491
827,0,281351.3514,27.34486844
827,3,280810.8108,27.29233267
827,6,281891.8919,27.39740421
827,9,299729.7297,29.13108462
827,12,287837.8378,27.97529768
827,15,300810.8108,29.23615617
827,18,283513.5135,27.55501152
827,21,258648.6486,25.13836608
828,0,266216.2162,25.87386687
828,3,272162.1622,26.45176035
828,6,277027.027,26.92458227
828,9,290000,28.18544076
828,12,286756.7568,27.87022614
828,15,312162.1622,30.33940735
828,18,307837.8378,29.91912118
828,21,264054.0541,25.66372379
829,0,252702.7027,24.56047261
829,3,255405.4054,24.82315146
829,6,271621.6216,26.39922457
829,9,279189.1892,27.13472536
829,12,292162.1622,28.39558385
829,15,268918.9189,26.13654572
829,18,266216.2162,25.87386687
829,21,250000,24.29779376
830,0,251621.6216,24.45540107
830,3,272162.1622,26.45176035
830,6,287297.2973,27.92276191
830,9,312702.7027,30.39194311
830,12,301891.8919,29.34122771
830,15,,
830,18,,
830,21,,
831,0,210540.5405,20.46268253
831,3,211621.6216,20.56775407
831,6,210540.5405,20.46268253
831,9,211081.0811,20.5152183
831,12,212702.7027,20.67282561
831,15,199189.1892,19.35943135
831,18,178108.1081,17.31053631
831,21,178648.6486,17.36307208
901,0,175405.4054,17.04785746
901,3,169459.4595,16.46996399
901,6,162972.973,15.83953475
901,9,165135.1351,16.04967782
901,12,163513.5135,15.89207051
901,15,151621.6216,14.73628356
901,18,155405.4054,15.10403396
901,21,133783.7838,13.00260315
902,0,127297.2973,12.3721739
902,3,125135.1351,12.16203082
902,6,129459.4595,12.58231699
902,9,122972.973,11.95188774
902,12,117567.5676,11.42653004
902,15,113243.2432,11.00624387
902,18,108378.3784,10.53342195
902,21,99729.72973,9.692849619
903,0,91621.62162,8.904813064
903,3,87297.2973,8.484526903
903,6,88918.91892,8.642134213
903,9,88378.37838,8.589598443
903,12,78648.64865,7.643954578
903,15,73783.78378,7.171132645
903,18,73243.24324,7.118596874
903,21,71621.62162,6.960989564
904,0,67297.2973,6.540703402
904,3,64594.59459,6.27802455
904,6,64594.59459,6.27802455
904,9,69459.45946,6.750846483
904,12,62972.97297,6.120417239
904,15,64594.59459,6.27802455
904,18,66216.21622,6.435631861
904,21,57027.02703,5.542523766
905,0,55405.40541,5.384916455
905,3,55405.40541,5.384916455
905,6,53783.78378,5.227309144
