web-scraper-order,web-scraper-start-url,link,link-href,snopes title,datte,subject,title,type,text
1628110258-1057,https://www.snopes.com/page/4/?s=Hurricane+irma,Did a Man Die from Shooting a Gun at Hurricane Florence?,https://www.snopes.com/fact-check/myrtle-beach-shooting-gun-hurricane-florence/,Did a Man Die from Shooting a Gun at Hurricane Florence?,14-Sep-18,"Home					
				
												
					
						Fact Checks					
				
												
					
						Junk News					
				
												
					
						Did a Man Die from Shooting a Gun at Hurricane Florence?","In September 2018, a 33-year-old man in Myrtle Beach, South Carolina, died after the bullet he shot at Hurricane Florence rebounded and hit him in the head.","False
					
						
							About this rating","In September 2018, the arrival of Hurricane Florence on the eastern coast of the United States (especially North and South Carolina) brought its fair share of online misinformation and hoaxes, including one false story inspired by a prank reused from the 2017 hurricane season.
“Myrtle Beach Man Who Shot at Hurricane Florence Dies After Bullet Ricochets,” read the headline of a 13 September 2018 article on the CGCNews.com website:

A 33-year old man from Myrtle Beach, South Carolina, has been confirmed as one of the first fatalities of Hurricane Florence after he ignored warnings and fired a weapon into the storm. According to a source who responded to the scene the 33-year old is believed to have fired a large calibre weapon earlier this afternoon; however, the bullet ricocheted and ended up entering the man’s head. It’s believed he died instantly.
The incident comes after a Facebook event called “Shooting guns at Hurricane Florence to scare it away” went viral with over 22,000 South Carolina natives marking their interest in attending on Facebook. While the majority of them appear to have heeded the warnings not to actually shoot at the hurricane, the 33-year old Florence man who remains to be formally named was not among them.
This story was fabricated. We could find no corroboration for the notion that someone died after shooting a round at Hurricane Florence, either in South Carolina or anywhere else, although we checked with law enforcement agencies and news sources from the states in the path of the storm.
Police in Myrtle Beach told the McLatchey news agency that they had received no reports of any such incident.
The Facebook event mentioned by CGC News is real and had 34,000 would-be “attendants” as of 14 September 2018. The creator of that virtual event added the following disclaimer: “Note: do not actually discharge firearms into the air. You could kill someone and you cannot frighten a hurricane. I cant believe I actually have to write this.”
“Shooting guns at Hurricane Florence to scare it away” was very similar to a September 2017 Facebook event called “Shoot at Hurricane Irma,” a virtual assembly later characterized by its creator as a joke that spiraled out of control."
1628110313-1063,https://www.snopes.com/page/3/?s=Hurricane+irma,Did Ben Carson Tell Hurricane Victims ‘Homelessness Is A Gift From Heaven’?,https://www.snopes.com/fact-check/ben-carson-hurricane-homelessness-gift-heaven/,Did Ben Carson Tell Hurricane Victims ‘Homelessness Is A Gift From Heaven’?,19-Sep-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Politics					
				
												
					
						Did Ben Carson Tell Hurricane Victims ‘Homelessness Is A Gift From Heaven’?","Ben Carson told a hurricane victim that ""homelessness is a gift from heaven"" and a sign that God wanted them to be homeless.","False
					
						
							About this rating","An image circulating online in September 2017 depicted federal Housing and Urban Development (HUD) Secretary Ben Carson as having a less than charitable viewpoint toward hurricane victims.
<img loading=""lazy"" class=""size-full wp-image-104200 aligncenter"" style=""border: 1px solid black;"" src=""https://www.snopes.com/tachyon/2017/09/Ben-Carson-hurricane.jpg"" alt="""" width=""600"" height=""412"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2017/09/Ben-Carson-hurricane.jpg?resize=600%2C412&amp;zoom=1 600w, https://www.snopes.com/tachyon/2017/09/Ben-Carson-hurricane.jpg?resize=600%2C412&amp;zoom=0.5 300w, https://www.snopes.com/tachyon/2017/09/Ben-Carson-hurricane.jpg?resize=600%2C412&amp;zoom=0.25 150w"" sizes=""(max-width: 600px) 100vw, 600px"" />
You see, a hurricane is God’s way of saying you are meant to be homeless. So in a sense, your homelessness is a gift from heaven.
The photograph was likely from a 7 May 2015 meeting between Carson and community leaders in Baltimore. But there is no record of Carson making that statement about hurricane victims.
In a September 2017 interview, Carson said that families who receive federal housing assistance would get help in the aftermath of Hurricane Harvey, which caused significant damage in parts of Texas:
We will make sure that they’re all taken care of. In many cases where things have been destroyed, we’ll have to go to some transitional housing first. But yes, we’ll be taking care of all of them.
	
		
			
				
			
			
		
	
		
		
Carson has also promised that HUD would be “a rapid, responsible and compassionate agency” in its response.
A HUD spokesperson told us that around 500,000 homeowners affected by Harvey and Hurricane Irma in Florida currently have mortgages insured by the Federal Housing Administration. Those homeowners are eligible for a 90-day “foreclosure moratorium.”
The caption used in the image of Carson could be a play on a remark he actually did make during a May 2017 interview:
I think poverty to a large extent is also a state of mind. You take somebody that has the right mindset, you can take everything from them and put them on the street, and I guarantee in a little while they’ll be right back up there. And you take somebody with the wrong mindset, you can give them everything in the world, they’ll work their way right back down to the bottom.
When asked in September 2015 how he would deal with Hurricane Joaquin, Carson — then a Republican presidential candidate — told reporters, “I don’t know.”"
1628110353-1068,https://www.snopes.com/page/3/?s=Hurricane+irma,Police Shoot Armed Man at Miami Airport Amid Irma Evacuation,https://www.snopes.com/ap/2017/09/08/police-shoot-armed-man-miami-irma-evacuation/,Police Shoot Armed Man at Miami Airport Amid Irma Evacuation,null,"Home					
				
												
					
						AP News					
				
												
					
						Crime					
				
												
					
						Police Shoot Armed Man at Miami Airport Amid Irma Evacuation",null,"This article was republished here with permission from The Associated Press, however it is no longer available to read on Snopes.com.",null
1628110280-1059,https://www.snopes.com/page/3/?s=Hurricane+irma,Can Hurricane Victims Delay Their Mortgage Payments?,https://www.snopes.com/fact-check/can-hurricane-victims-delay-their-mortgage-payments/,Can Hurricane Victims Delay Their Mortgage Payments?,15-Sep-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Uncategorized					
				
												
					
						Can Hurricane Victims Delay Their Mortgage Payments?","Homeowners affected by hurricanes are allowed, under certain circumstances, to delay their mortgage payments.","True
					
						
							About this rating","After hurricanes Harvey and Irma tore through Mexico, the Caribbean, and the southern United States in September 2017, American government agencies and private mortgage companies offered assistance to homeowners needing to delay their mortgage payments.
A spokesperson for the federal Department of Housing and Urban Development, Brian Sullivan, told us on 15 September 2017 that approximately 280,000 Florida homeowners using Federal Housing Administration-insured loans live in counties affected by Hurricane Irma, and that about 220,000 homeowners in parts of Texas damaged by Hurricane Harvey (which made landfall earlier in the month) are currently using FHA loans.
The department has some information on its web site:
If you can’t pay your mortgage because of the disaster, your lender may be able to help you. If you are at risk of losing your home because of the disaster, your lender may stop or delay initiation of foreclosure for 90 days. Lenders may also waive late fees for borrowers who may become delinquent on their loans as a result of the disaster.
FHA borrowers are automatically eligible for a 90-day “foreclosure moratorium”(preventing the start of foreclosure proceedings) in the event of a natural disaster if they or their families live in counties that have been declared a federal disaster area by the government. They are also eligible if:

 They are related to someone who was injured or killed, or reported as missing because of the incident.
 The disaster “directly or substantially affected” their ability to pay their mortgage.

	
		
			
				
			
			
		
	
		
		
HUD also advises:
FHA’s Foreclosure Moratorium only applies to borrowers in default. If you are current, you should continue to make your mortgage payment whenever possible. If, however, you are unable to pay your loan as a result of the disaster, your lender may waive any late fees normally charged and let you know about other options.
If their lender is not able to help them, the agency urges borrowers to contact HUD directly for assistance.
Two private mortgage companies, Freddie Mac and Fannie Mae, also offer loan deferment programs for customers affected by natural disasters. Borrowers with loans through each company are potentially eligible to pause their mortgage payments for up to 12 months while waiving late fees or risking having a delinquency on their loan reported to credit bureaus.
The Consumer Financial Protection Bureau also operates a phone line connecting people unsure whether to pursue forbearance (as the practice of suspending a mortgage payment is known) with counselors from HUD. College students using federally-funded loans who are affected by natural disasters like the two hurricanes are potentially eligible for loan forbearance lasting up to 90 days."
1628110402-1075,https://www.snopes.com/page/2/?s=Hurricane+irma,Did the Governor of the United States’ Virgin Islands Sign an Order Allowing the Seizure of Weapons During Hurricane Irma?,https://www.snopes.com/fact-check/virgin-islands-order-seizure-weapons-irma/,Did the Governor of the United States’ Virgin Islands Sign an Order Allowing the Seizure of Weapons During Hurricane Irma?,7-Sep-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Politics					
				
												
					
						Did the Governor of the United States’ Virgin Islands Sign an Order Allowing the Seizure of Weapons During Hurricane Irma?","In September 2017, U.S. Virgin Islands Governor Kenneth Mapp signed an executive order empowering the National Guard to seize weapons and other private property.","True
					
						
							About this rating","On 5 September 2017, reports appeared that Kenneth Mapp, governor of the U.S. Virgin Islands, had authorized the national guard in the territory to seize weapons and ammunition as part of an effort to maintain public order during and after Hurricane Irma:
U.S. Virgin Islands Gov. Kenneth Mapp signed an emergency order allowing the seizure of private guns, ammunition, explosives and property the National Guard may need to respond to Hurricane Irma.
Mapp signed the order Monday in preparation for Hurricane Irma. The order allows the Adjutant General of the Virgin Islands to seize private property they believe necessary to protect the islands, subject to approval by the territory’s Justice Department.
The Daily Caller obtained what appears to be an authentic copy of the order, which sets the National Guard on active duty in the territory and orders them to keep public order and public safety “in the face of imminent danger or potential disaster from Hurricane/Tropical Storm Irma.” It also authorizes and direct Brigadier General Deborah Howell, the U.S. Virgin Islands Adjutant General, to seize weapons, ammunition and other property that may be needed for the National Guard’s emergency mission during Irma.
The Adjutant General is authorized and directed to seize arms, ammunition, explosives, incendiary material and any other property that may be required by the military forces for the performance of this emergency mission, in accordance with the Rules of Force promulgated by the Virgin Islands National Guard and approved by the Virgin Islands Department of Justice. 
The order was signed on 4 September 2017, and went into effect the next day.  
	
		
			
				
			
			
		
	
		
		
Despite the fairly clear-cut language used in the executive order, Governor Kenneth Mapp firmly denied that he had authorized the seizure of firearms or other property from citizens in an interview with Tucker Carlson on Fox News on 6 September 2017: 
I did not order or authorize the Adjutant General of the Virgin Islands National Guard to seize any weapons from any citizens, and I do not have the power — by Virgin Islands law or by the Constitution of the United States — to seize weapons from citizens via the military.
Mapp then said the order does empower the Adjutant General “to seize arms, ammunition, explosives, incendiary material”, but claimed this meant the National Guard could purchase such items from a store, if they lacked the firearms they needed to keep public order:
[The Adjutant General] has the authorization to spend government resources and acquire. We don’t seize property without due compensation to the property owner, after the appropriate assessment.
In the interview with Tucker Carlson, Mapp attempted to draw a distinction between “seizing weapons and other property that may be required by military forces”, and “seizing weapons and other property from citizens”, which he said was not mentioned in the executive order.
It is true that the order doesn’t contain the word “citizens” or “civilians” but it is unclear how the order could be interpreted as not being applicable to property owned by civilians, unless he intended the National Guard to be authorized to seize only property owned by incorporated companies or trusts. No such stipulations or distinctions are made in the executive order.
Mapp told Carlson the order did not allow the Adjutant General to “go into people’s homes” and acquire property, but to acquire property “as the government acquires property on the open market”: in other words, to buy it. He added that the executive order empowered the Adjutant General to purchase weapons and ammunition from retail outlets without having to “go through the procurement processes of the government.”
Again, this is not set out in the order itself. There is also a certain redefinition of language at work here, given that the Governor is claiming that the meaning of “to seize” in the order is “to purchase without going through the procurement processes of the government.”		
			
				
			
			
		
	
		
		


It is possible that Kenneth Mapp intended the order to authorize the National Guard only to purchase private property, but it is therefore entirely unclear why the order would empower the Adjutant General to “seize” weapons and ammunition, rather than to “purchase” them. It’s also possible that, upon reflection, it is now his considered position that the National Guard should be authorized only to purchase property, rather than seize it.
Either way, the language in Kenneth Mapp’s executive order is clear — it empowers the Adjutant General of the U.S. Virgin Islands National Guard to “seize” firearms, ammunition and other private property. It can reasonably be assumed that such confiscation would extend to the property of civilians, especially since there is nothing in the order to contradict this natural assumption, or to stipulate that only property owned by incorporated entities or trusts may be seized."
1628110469-1083,https://www.snopes.com/page/1/?s=Hurricane+irma,Did a 2005 Movie Feature Hurricanes Named Harvey and Irma?,https://www.snopes.com/fact-check/category-7-harvey-irma/,Did a 2005 Movie Feature Hurricanes Named Harvey and Irma?,8-Sep-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Science					
				
												
					
						Did a 2005 Movie Feature Hurricanes Named Harvey and Irma?",The 2005 movie Category 7: The End of the World predicted the arrival of hurricanes named Harvey and Irma.,"False
					
						
							About this rating","In September 2017, rumors emerged on social media that a 2005 movie predicted current events by featuring two hurricanes named Harvey and Irma — and that this somehow proved that the hurricanes were both human-engineered.
A typical viral message read as follows:
11 years and 9 months ago a movie came out called “Category 7 End of the World” and there were only two episodes called “Harvey” and “Irma”! Read that over a few times until it sinks in! These are NOT “storms”, but predictive program attacks on the American people that they told “U.S.” about in the Hollywood black magic ritual of telling their victims exactly how you intend to take their lives.
The second hurricane called IRMA in the movie struck the United States on 9/11, and guess when this storm is suppose to hit “U.S.”? This is way too much of a “coincidence” for even the casual observer to ignore. 
Category 7: End of the World was a two-part made-for-TV movie broadcast by CBS in November 2005. It’s an apocalyptic thriller directed by Dick Lowry and starring Shannon Doherty about a series of extreme weather events that cause destruction around the world.
In the movie, a hurricane named Eduardo strikes Florida and Washington, D.C., while an unnamed Category 6 storm hits New York. Eventually the two combine, causing the movie’s eponymous Category 7 storm, which threatens a global catastrophe. 
	
		
			
				
			
			
		
	
		
		
None of the storms or hurricanes in the movie was named Harvey or Irma. Furthermore, Category 7: End of the World was broadcast in November 2005, which was 11 years and 10 months (not nine months) before Hurricane Irma’s expected landfall in Florida on 10 September 2017. So the meme’s two key claims were false. 
However, even if these claims were accurate, they would have no sinister meaning. 
Atlantic hurricanes are named from a prescribed list of names that are rotated every six years and published in advance. So we already know the list of potential hurricane names for 2018, 2019, and every year for the foreseeable future, unless they are changed by the World Meteorological Association. 
There was a Hurricane Harvey, for example, in 2011 and a Tropical Storm Harvey in 2005 and 1999. Had the filmmakers named their fictional storms Harvey or Irma, they could easily have chosen them from the same publicly available list.
Even if there had been 11 years and 9 months between the original broadcast of Category 7: End of the World, and Hurricane Irma’s expected landfall, this would be a meaningless coincidence.
To believe otherwise requires believing a vast, unfeasibly complicated conspiracy theory involving the movie’s writers, directors, CBS, and the federal government, who would then have to engineer and manage a tropical storm into a powerful hurricane (something that is impossible) and time its development to perfection so that it makes landfall in the United States on 11 September 2017 exactly.
In reality, Hurricane Irma is expected to hit the continental U.S. on 10 September 2017. 
However, again, even if the post had gotten the dates right, the idea that they contain significance is an example of cherry-picking numerical patterns (which exist everywhere) and contorting them to fit pre-existing beliefs and theories. We have addressed such pattern-seeking previously, in the context of both hurricanes and terrorist attacks.
The “Category 7” meme consists of a ludicrous conspiracy theory based on evidence-free claims about government “geoengineering” and numerology, and ignores the fact that hurricane names are made public years in advance. Furthermore, its two key factual claims – that the hurricanes in the movie were named Harvey and Irma, and that the movie was released 11 years and nine months ago – are false."
1628110434-1080,https://www.snopes.com/page/2/?s=Hurricane+irma,"Florida Nun Dons Habit, Grabs Chain Saw to Help After Irma",https://www.snopes.com/ap/2017/09/13/florida-nun-habit-chain-saw-help-irma/,"Florida Nun Dons Habit, Grabs Chain Saw to Help After Irma",13-Sep-17,"Home					
				
												
					
						AP News					
				
												
					
						Odd News					
				
												
					
						Florida Nun Dons Habit, Grabs Chain Saw to Help After Irma",null,"This article is republished here with permission from The Associated Press. This content is shared here because the topic may interest Snopes readers; it does not, however, represent the work of Snopes fact-checkers or editors.","MIAMI (AP) — A Florida nun is pitching in on the cleanup efforts following Hurricane Irma by taking a chain saw to downed trees while dressed in her full habit.
Miami-Dade police posted video of Sister Margaret Ann at work on social media taken by an off-duty officer who came across her.
Police say the nun was cutting trees to clear the roadways around Archbishop Coleman Carrol High School near Miami. Sister Margaret Ann is the school’s principal, according to its website.
Police say “acts of kindness” like Sister Margaret Ann’s remind residents that they’re all part of the same community. The department added in its post, “Thank you Sister and all of our neighbors that are working together to get through this!”"
1628110326-1065,https://www.snopes.com/page/3/?s=Hurricane+irma,Were Two Burglars Sodomized for Five Straight Days?,https://www.snopes.com/fact-check/two-burglars-predator/,Were Two Burglars Sodomized for Five Straight Days?,7-Oct-16,"Home					
				
												
					
						Fact Checks					
				
												
					
						Junk News					
				
												
					
						Were Two Burglars Sodomized for Five Straight Days?","A ""gay sex predator"" sodomized two burglars after they broke into his home.","False
					
						
							About this rating","In October 2016, viral entertainment web sites such as Yikes.com published articles positing that two burglars had been sodomized for five straight days after they broke into the house of a “notorious gay sex predator” named Harry Harrington:

<img loading=""lazy"" class=""aligncenter size-full wp-image-54357"" src=""https://www.snopes.com/tachyon/2016/10/harry-harrington.jpg"" alt=""harry harrington"" width=""450"" height=""600"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2016/10/harry-harrington.jpg?resize=450%2C600&amp;zoom=1 450w, https://www.snopes.com/tachyon/2016/10/harry-harrington.jpg?resize=450%2C600&amp;zoom=0.5 225w, https://www.snopes.com/tachyon/2016/10/harry-harrington.jpg?resize=450%2C600&amp;zoom=0.25 113w"" sizes=""(max-width: 450px) 100vw, 450px"" />
Two burglars got more than they bargained for recently after picking the wrong house to break into. Garfield Morgan, 54, and his 36 year old accomplice friend Kim Gorton are both career burglars, having stolen from hundreds of homes in their lives. But it’s unlikely they’ll go back to crime after the nasty episode they experienced in the home of one Florida man…
Harry Harrington is 6’7″ and weighs over 300lbs. It’s pure muscle. He’s a notorious gay s*x predator who has served time in jail for numerous sexual assaults. An aggressive and predatory offender, he’s not the kind of man you want to annoy. But that’s just what Morgan and Gorton did that fateful night.
Harrington, known as ‘The Wolfman‘, easily overpowered the men, tied them up and assaulted them for five full days. Police only intervened after a neighbor heard the men’s cries for help and called them.
There was no truth to this story. The newspaper clipping shown above originated with the Sunday Sport, a British tabloid that publishes a mixture of softcore pornography, gossip, and outlandish stories such as “Donkey Robs Bank,” and “Aliens Turned Our Son Into a Fish Finger.”
In addition to the story’s dubious source, the photographs included with it were also suspect. The image purportedly showing Harry “The Wolfman” Harrington had been circulating online since at least 2009, and one of the mugshots purportedly showing either “Garfield Morgan” or “Kim Gorton” actually depicted a man named Michael Patrick Kelly who was arrested in 2004 for lewd conduct with a minor.
The premise of this rumor was repurposed in September 2017 for a fake CNN news article which claimed that two looters (now named James Tobbes and Michael Smith) were sodomized after breaking into a home during Hurricane Irma."
1628110172-1045,https://www.snopes.com/page/5/?s=Hurricane+irma,Devastating Toxic Algae Bloom Plagues Florida’s Gulf Coast,https://www.snopes.com/ap/2018/08/10/devastating-toxic-algae-bloom-plagues-floridas-gulf-coast/,Devastating Toxic Algae Bloom Plagues Florida’s Gulf Coast,null,"Home					
				
												
					
						AP News					
				
												
					
						Nature					
				
												
					
						Devastating Toxic Algae Bloom Plagues Florida’s Gulf Coast",null,"This article was republished here with permission from The Associated Press, however it is no longer available to read on Snopes.com.",null
1628110524-1089,https://www.snopes.com/page/1/?s=Hurricane+irma,Video Shows Hurricane Irma Hitting Antigua and Barbuda?,https://www.snopes.com/fact-check/irma-barbuda-video/,Video Shows Hurricane Irma Hitting Antigua and Barbuda?,8-Sep-17,"Home					
				
												
					
						Fact Checks					
				
												
					
						Fauxtography					
				
												
					
						Video Shows Hurricane Irma Hitting Antigua and Barbuda?",A video shows Hurricane Irma destroying buildings in Antigua and Barbuda in September 2017.,"False
					
						
							About this rating","On 5 September 2017, as Hurricane Irma approached the island of Barbuda, a Facebook user posted a video purportedly showing the strong winds from Hurricane Irma ripping through a small town in the Caribbean:
<img loading=""lazy"" class=""aligncenter wp-image-103296"" style=""border: 1px solid black;"" src=""https://www.snopes.com/tachyon/2017/09/fb-video.jpg"" alt="""" width=""600"" height=""506"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2017/09/fb-video.jpg?resize=490%2C413&amp;zoom=1 490w, https://www.snopes.com/tachyon/2017/09/fb-video.jpg?resize=490%2C413&amp;zoom=0.5 245w, https://www.snopes.com/tachyon/2017/09/fb-video.jpg?resize=490%2C413&amp;zoom=0.25 123w"" sizes=""(max-width: 490px) 100vw, 490px"" />
As news broke that the storm had reached Category 5 strength, with sustained winds of over 180 mph, the video was widely shared as if it depicted the devastation wrought by the massive storm. Within three days of its initial posting, the video had been viewed more than 30 million times. 
This footage, however, does not show Hurricane Irma. It actually shows a tornado that struck Dolores, Uruguay in April 2016:

	
		
			
				
			
			
		
	
		
		 
CNN reported at the time:
A tornado ripped through the southwestern Uruguay city of Dolores, killing four people and leaving hundreds injured, government officials said.
More than 200 people suffered injuries and about 400 structures have been affected, said Sen. Guillermo Besozzi.
Images from the city showed overturned cars piled on top of one other, shattered windows, and decimated buildings.
The BBVA bank shown in the video is located at the intersection of Gritto de Asencio and General Jose Gervasio Artigas in Dolores, Departamento de Soriano, Uruguay. The following image shows a Google Maps screenshot (left) showing the bank in October 2015 (before the storm), compared to a still from the video (right). The same strip of buildings can be seen in both images:
<img loading=""lazy"" class=""aligncenter wp-image-103291"" style=""border: 1px solid black;"" src=""https://www.snopes.com/tachyon/2017/09/bbva-map-comparison.jpg"" alt="""" width=""600"" height=""197"" data-recalc-dims=""1"" srcset=""https://www.snopes.com/tachyon/2017/09/bbva-map-comparison.jpg?resize=2000%2C657&amp;zoom=1 2000w, https://www.snopes.com/tachyon/2017/09/bbva-map-comparison.jpg?resize=2000%2C657&amp;zoom=0.5 1000w, https://www.snopes.com/tachyon/2017/09/bbva-map-comparison.jpg?resize=2000%2C657&amp;zoom=0.25 500w"" sizes=""(max-width: 2000px) 100vw, 2000px"" />

Contemporary reports also noted that BBVA was one of many companies who contributed to the relief effort after the April 2016 tornado in Uraguay."
