web-scraper-order,web-scraper-start-url,title,date
1628107496-378,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Amazon to help during hurricane season with quick delivery of disaster relief supplies,1-Jun-21
1628107496-399,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Rites of passage are deferred as students adjust to school in isolation,21-Mar-20
1628107496-405,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"A deadly earthquake has most of Puerto Rico with no power, no water and residents fear tremors will bring more destruction",7-Jan-20
1628107496-387,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Beach erosion from Tropical Storm Eta unearthed remnants of an 1800s shipwreck in Florida,22-Nov-20
1628107496-385,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,What it's like inside a luxury Caribbean 'vacation bubble',19-Jan-21
1628107496-390,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"With Europe off limits, US travelers look to the Caribbean",29-Jun-20
1628107496-388,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,A 122-year love-hate relationship: Puerto Rico -- once again -- will vote on statehood,31-Oct-20
1628107496-397,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"In the pandemic, the threat of natural disasters still looms. The thought of facing both at once worries some who'd be in charge",18-Apr-20
1628107496-376,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Hurricane Statistics Fast Facts,31-May-13
1628107496-406,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Deadly earthquake hits Puerto Rico,7-Jan-20
1628107496-402,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,House approves $4.7 billion Puerto Rico disaster relief package,7-Feb-20
1628107496-410,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"'There is nothing here': The future is uncertain for 70,000 in the Bahamas left homeless by Dorian",8-Sep-19
1628107496-413,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,From Kim Jong Un to Hurricane Dorian: Trump made 62 false claims last week,4-Sep-19
1628107496-409,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"A disaster-recovery loan agent stole hurricane victims' identities to enrich herself, feds allege",10-Oct-19
1628107496-401,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"Florida's war on weeds is killing fish and supercharging red tide, opponents say",7-Feb-20
1628107496-383,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Houston Police Chief Art Acevedo resigning to lead the Miami department,15-Mar-21
1628107496-400,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,This teen makes adorable bow ties to help get shelter dogs and cats adopted,24-Feb-20
1628107496-398,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,4 major hurricanes are predicted as part of an above-normal 2020 Atlantic hurricane season,2-Apr-20
1628107496-377,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,At least 11 dead after partial building collapse near Miami,27-Jun-21
1628107496-389,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,FEMA braces for Hurricane Laura amid coronavirus response,27-Aug-20
1628107496-391,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"The pandemic could lead to longer power outages following a hurricane, industry leaders warn",28-Jun-20
1628107496-403,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"First detailed images of a turbulent surface of the sun, thanks to new telescope",29-Jan-20
1628107496-384,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,How a bad response to a weather disaster can ruin a political career,20-Feb-21
1628107496-394,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,How cities along the US coast are preparing for a hurricane season like no other,31-May-20
1628107496-404,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Earthquake-damaged buildings cripple Puerto Rico,16-Jan-20
1628107496-386,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"2020 smashed the record for billion-dollar weather and climate disasters, NOAA says",8-Jan-21
1628107496-407,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,10 of the best Caribbean islands to visit,3-Jan-20
1628107496-382,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"Flood risk is growing for US homeowners due to climate change. Current insurance rates greatly underestimate the threat, a new report finds",22-Feb-21
1628107496-412,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Not everyone is outraged by Trump's move to divert military funds to pay for border wall,6-Sep-19
1628107496-396,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Some island lizard species evolve to survive hurricanes -- the key is bigger toe pads,27-Apr-20
1628107496-381,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Teen helps adoptable dogs stand out with handmade bow ties,3-Apr-21
1628107496-392,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,2017 Atlantic Hurricane Season Fast Facts,15-May-17
1628107496-408,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,The 2010s were relentless. Here are some of the most fascinating news stories that shaped the decade,30-Dec-19
1628107496-379,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,"Trump administration hampered investigation into delayed Puerto Rico hurricane relief, government watchdog finds",22-Apr-21
1628107496-395,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Face mask and hand sanitizer added to hurricane preparedness checklist,4-May-20
1628107496-380,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Raul Castro Fast Facts,13-Dec-12
1628107496-393,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,Researchers predict up to 19 named storms this hurricane season. Here are their names,1-Jun-20
1628107496-411,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=1&page=1,A cruise line is offering free evacuations to those on Grand Bahama Island,5-Sep-19
1628107588-446,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,House Oversight re-launches Irma and Maria hurricane response investigation,6-May-19
1628107588-439,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,The world's best waterfront restaurants promise more than a view,22-Jul-19
1628107588-416,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Donald Trump isn't up to the job,3-Sep-19
1628107588-424,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Hurricane Dorian intensifies as it heads for US,29-Aug-19
1628107588-421,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Hurricane Dorian heads for the US mainland,31-Aug-19
1628107588-454,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,A beach a day: Antigua boasts a year's worth of sunny spots,16-Mar-19
1628107588-418,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,How do hospitals prepare for hurricanes?,2-Sep-19
1628107588-432,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Tropical Storm Dorian nears Puerto Rico,27-Aug-19
1628107588-423,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,People are leaving their cars at gas stations as fuel runs out in Florida ahead of Hurricane Dorian's arrival,30-Aug-19
1628107588-456,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,What warmer oceans mean for the planet,12-Jan-19
1628107588-458,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,World's best sailing destinations,4-Jul-18
1628107588-436,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,"HUD delays funding for Puerto Rico, citing 'alleged corruption'",2-Aug-19
1628107588-427,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,"As Hurricane Dorian loomed over Puerto Rico, Trump turned to insults, not support",29-Aug-19
1628107588-422,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Disney World Orlando and Hurricane Dorian: Should I stay or should I go?,30-Aug-19
1628107588-443,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Grenada PM: Climate change is an existential threat for us in the islands,21-May-19
1628107588-415,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Hurricane Dorian threatens the US,3-Sep-19
1628107588-441,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Here are the names of the hurricanes for the 2019 season,1-Jun-19
1628107588-417,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,DHS watchdog: FEMA's IT-related issues 'hindered' its response to 2017 hurricanes,3-Sep-19
1628107588-429,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Hurricane Dorian nears Puerto Rico,28-Aug-19
1628107588-430,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,FEMA faces headwinds in Puerto Rico as Dorian hits,28-Aug-19
1628107588-452,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,FEMA shared 2.3 million disaster survivors' personal information with contractor,22-Mar-19
1628107588-425,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Florida is keeping an eye on nursing homes' generators after Hurricane Irma fatalities,30-Aug-19
1628107588-435,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,"4 employees to face charges in Florida nursing home deaths after Hurricane Irma, lawyer says",26-Aug-19
1628107588-431,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,"Donald Trump vs. Puerto Rico, round 2",27-Aug-19
1628107588-457,https://www.cnn.com/search?size=50&q=Hurricane%20irma&from=51&page=1,Meet the Puerto Rican sisterhood reinventing the island's future after Maria,19-Sep-18
